,Expected entropy
tares,-6.281920437197543
rates,-6.37488630567018
tales,-6.392874949908401
tears,-6.433086825377563
nares,-6.475309806237146
tires,-6.476174925806962
reals,-6.489928907777656
dares,-6.497669934188435
lores,-6.500792255829086
tries,-6.5023507157485225
teals,-6.510178410706376
saner,-6.510820619626553
pares,-6.517331194793096
cares,-6.520663006690079
roles,-6.525610379211232
aloes,-6.527485479904704
lanes,-6.534394461834788
taels,-6.539889700774691
slate,-6.56652151808173
riles,-6.577320837509075
rites,-6.577686856683295
earls,-6.584969416528478
dales,-6.586608568721341
mares,-6.587485643105602
tiles,-6.5937028148624455
nates,-6.603612932228997
races,-6.6112452997834925
raise,-6.620590521615407
pales,-6.623152944491686
nears,-6.6234072786120315
rapes,-6.624248976937018
dears,-6.62714563810421
dates,-6.6284049115490085
hares,-6.629796865147671
tones,-6.634073637741694
stare,-6.635766205071421
leans,-6.639316571880708
earns,-6.649714606731456
laser,-6.652531182433462
taros,-6.653608035301755
lades,-6.6548092844554505
pates,-6.658472399434791
slier,-6.6607789992070074
lites,-6.665783521431433
pears,-6.666106986466595
cores,-6.666179521438978
pores,-6.667097093679694
bares,-6.668652547840033
tapes,-6.671066854031645
snare,-6.6748351144951705
siren,-6.676648157213447
reads,-6.678187458681204
tiers,-6.681852464994141
antes,-6.686945953452639
deals,-6.689793882761354
sated,-6.6923221840479385
tines,-6.695031101307013
stale,-6.696392178657852
males,-6.696439588717207
laces,-6.699386293593844
tames,-6.702042293281561
terns,-6.702249907325613
acres,-6.706752511307675
saute,-6.707172380180944
rails,-6.712841322024647
dries,-6.7133868559593655
trues,-6.716471632934293
canes,-6.718545972671197
panes,-6.72032442527116
braes,-6.721453229570667
reaps,-6.724264576144843
tarns,-6.729448069913319
aides,-6.73070321632528
peats,-6.730964824244854
mores,-6.731465880397488
mates,-6.732991931136477
lairs,-6.735031183955403
peals,-6.736920160536622
hales,-6.737482236706723
tails,-6.738592709005326
doles,-6.739242477856402
pries,-6.74094135320493
cries,-6.7448158033432355
lames,-6.747345606942925
liers,-6.747858888080092
least,-6.747984386340194
reins,-6.748474230000242
lines,-6.749306127745796
rials,-6.7510674117497596
arise,-6.752885466395699
leads,-6.755103244479496
notes,-6.758503276988285
lures,-6.758745705029109
rages,-6.760190409362931
sired,-6.760463512792204
arose,-6.764907020344806
roans,-6.767104711372103
stoae,-6.769372677430284
bales,-6.774429791236679
reams,-6.774640496551589
deans,-6.7746571680120935
liars,-6.775234006469103
poles,-6.776372391708409
hears,-6.777665254414033
fares,-6.7788187256708134
hates,-6.779548056337436
mires,-6.7805485810692465
dotes,-6.780843357739393
ropes,-6.782090559279139
rents,-6.782405799594125
gales,-6.782787939521367
rules,-6.784954507324447
wares,-6.788051124973904
rains,-6.78994216195826
parse,-6.79041888484637
rants,-6.790807941505211
rides,-6.7914533565496065
nerts,-6.793686071658911
sorta,-6.794604647845605
manes,-6.795172669581621
meats,-6.797418088129546
solar,-6.79778202391566
soled,-6.799516474935893
store,-6.80088156174556
meals,-6.802748853575826
loser,-6.802943646974439
liras,-6.804537725231146
leaps,-6.804913702292881
trans,-6.806232595004431
darts,-6.809394789149867
bates,-6.810883742155961
sarge,-6.811107371814765
aisle,-6.812808416142056
lodes,-6.813455174102682
bores,-6.81389934290488
sayer,-6.815435712499821
cotes,-6.815563713391484
hires,-6.820828341976243
rices,-6.821502895917995
gates,-6.821765977958436
doers,-6.82192152087831
teams,-6.822516912356957
bears,-6.823098308358783
piles,-6.825040963822435
orals,-6.825391332081275
saber,-6.826245814212702
tides,-6.826537322003398
spare,-6.827946097081987
topes,-6.831813436497007
sager,-6.831875440080569
gores,-6.831958881685699
plies,-6.83263393187189
riots,-6.836350295967168
elans,-6.836872957870194
gears,-6.8375271504254655
snore,-6.838382138167674
later,-6.842201893736318
moles,-6.84294919167383
scare,-6.843364122760185
heats,-6.843932473468922
heals,-6.844058033870516
share,-6.846623110900707
sitar,-6.847872010441589
tiros,-6.851450375647857
napes,-6.852719572918858
sabre,-6.85304867182146
rakes,-6.85399081955176
lased,-6.8561202636172345
tared,-6.858190291059801
carts,-6.858602867711454
runes,-6.858641614258177
loans,-6.858719387070342
spate,-6.86180475258817
tomes,-6.862783587548814
rimes,-6.863411256302763
tesla,-6.863561969337625
lopes,-6.865053334142469
sonar,-6.865946027975188
banes,-6.865975171819351
cites,-6.866576577367709
roads,-6.867398192421574
parts,-6.868572653712135
cones,-6.869217408295024
ureas,-6.871863662320849
raids,-6.873229253753571
stole,-6.873234084720855
kales,-6.87388451049494
pones,-6.875251022759083
roils,-6.878064830260611
saint,-6.878152467613309
years,-6.878630345994276
lutes,-6.87876982764969
